timestamp,room,temperature_C,humidity_%,CO2_ppm,CO_ppm,NO2_ppb,VOC_ppb,CH4_ppm,C3H8_ppm,H2S_ppm,Rn_Bq_m3,anomaly_flag,temperature_C_anomaly,humidity_%_anomaly,CO2_ppm_anomaly,CO_ppm_anomaly,NO2_ppb_anomaly,VOC_ppb_anomaly,CH4_ppm_anomaly,C3H8_ppm_anomaly,H2S_ppm_anomaly,Rn_Bq_m3_anomaly
2023-01-01 00:00:00,Garage,20.58,56.62,450.56,0.842,23.39,169.35,1.78,1.16,0.066,16.66,0,1,0,0,0,0,0,0,0,0,0
2023-01-01 00:01:00,Kitchen,20.69,55.59,484.06,0.845,27.04,184.27,1.8,1.24,0.07,18.85,0,1,0,0,0,0,0,0,0,0,0
2023-01-01 00:02:00,Living Room,21.07,55.29,480.75,0.829,23.29,180.39,1.61,1.33,0.07,19.29,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:03:00,Kitchen,20.61,53.96,472.5,0.746,27.08,199.07,1.65,1.18,0.075,18.71,0,1,0,0,0,0,0,0,0,0,0
2023-01-01 00:04:00,Garage,20.98,57.98,467.29,0.683,25.66,199.11,1.46,1.08,0.097,19.84,0,1,0,0,0,0,0,0,0,0,0
2023-01-01 00:05:00,Garage,20.88,58.81,522.71,0.655,28.05,206.34,1.47,1.08,0.093,20.12,0,1,0,0,0,0,0,0,0,0,0
2023-01-01 00:06:00,Kitchen,21.78,52.97,510.32,0.544,25.85,196.71,1.17,1.13,0.077,19.32,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:07:00,Kitchen,22.39,53.74,486.07,0.447,29.75,184.89,0.62,0.95,0.081,17.98,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:08:00,Living Room,21.92,54.73,493.05,0.369,25.77,176.1,1.41,0.9,0.091,19.03,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:09:00,Basement,22.03,55.96,537.2,0.33,24.29,163.66,1.31,0.76,0.079,19.35,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:10:00,Living Room,21.57,53.77,463.84,0.297,28.29,156.96,1.42,0.78,0.06,20.18,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:11:00,Kitchen,22.55,53.3,539.23,0.149,23.87,137.74,0.66,0.71,0.077,21.88,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:12:00,Living Room,22.12,54.19,514.5,0.143,31.12,146.63,1.17,0.68,0.072,20.38,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:13:00,Kitchen,22.71,54.86,519.85,0.049,24.72,134.23,1.04,0.56,0.078,20.71,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:14:00,Garage,22.61,55.56,544.58,0.011,23.38,133.36,0.57,0.66,0.062,21.18,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:15:00,Basement,22.33,54.83,534.37,0.137,28.45,119.63,0.73,0.44,0.061,22.71,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:16:00,Kitchen,23.07,52.62,532.84,0.197,26.77,124.77,0.64,0.51,0.073,21.94,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:17:00,Living Room,22.44,53.88,557.02,0.208,21.97,127.8,0.71,0.34,0.057,20.66,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:18:00,Basement,21.63,52.38,586.23,0.242,24.03,107.82,0.79,0.13,0.05,20.58,0,1,0,0,0,0,0,0,0,0,0
2023-01-01 00:19:00,Kitchen,22.83,51.02,554.1,0.205,24.15,140.34,0.39,0.49,0.04,20.48,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:20:00,Kitchen,22.6,54.75,556.41,0.187,21.77,160.06,0.43,0.21,0.034,20.79,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:21:00,Kitchen,23.73,50.44,597.37,0.178,18.47,150.03,1.06,0.27,0.039,19.96,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:22:00,Basement,22.75,55.08,582.43,0.219,12.65,178.31,0.82,0.47,0.049,22.67,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:23:00,Kitchen,23.66,54.3,602.38,0.144,17.02,157.91,1.02,0.28,0.038,20.35,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:24:00,Basement,23.41,53.88,628.43,0.077,14.25,184.97,0.82,0.38,0.031,21.56,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:25:00,Kitchen,23.77,53.29,626.93,0.0,19.76,201.74,1.12,0.28,0.033,19.62,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:26:00,Basement,23.58,52.84,635.58,0.065,10.48,196.33,1.04,0.34,0.025,21.22,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:27:00,Kitchen,23.19,52.11,629.99,0.067,16.27,196.91,1.21,0.59,0.031,21.04,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:28:00,Living Room,23.76,56.61,1162.7,4.082,58.99,337.75,5.7,1.62,0.684,20.34,1,0,0,1,0,0,1,1,0,1,0
2023-01-01 00:29:00,Garage,23.71,53.71,1156.66,4.174,58.82,330.71,5.99,1.68,0.667,21.37,1,0,0,1,1,0,0,1,0,1,0
2023-01-01 00:30:00,Living Room,23.58,56.75,1194.57,3.7,62.27,337.67,6.27,1.62,0.677,21.2,1,0,0,1,0,1,1,1,0,1,0
2023-01-01 00:31:00,Kitchen,24.27,52.5,1172.7,4.058,56.01,311.43,6.6,1.99,0.736,22.24,1,0,0,1,0,0,0,1,0,1,0
2023-01-01 00:32:00,Kitchen,23.58,54.4,638.33,0.475,9.6,177.92,1.92,0.73,0.017,20.52,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:33:00,Garage,23.51,55.89,670.4,0.482,7.09,158.63,2.21,0.6,0.018,21.79,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:34:00,Living Room,23.75,53.35,665.59,0.564,11.74,140.28,1.94,0.71,0.022,21.35,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:35:00,Kitchen,24.91,52.01,643.38,0.667,7.39,150.72,2.02,0.56,0.019,19.35,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:36:00,Living Room,25.24,49.44,678.65,0.712,6.69,127.36,2.16,0.75,0.021,18.02,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:37:00,Living Room,23.93,48.6,740.03,0.699,9.65,140.75,2.59,1.05,0.045,20.16,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:38:00,Living Room,24.28,50.92,700.3,0.874,10.32,135.41,2.15,0.91,0.025,19.56,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:39:00,Basement,24.27,48.23,698.84,0.913,14.59,144.41,2.22,1.14,0.05,18.91,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:40:00,Kitchen,25.35,46.92,712.93,0.94,8.63,116.79,2.26,1.16,0.041,20.0,0,0,0,0,0,0,0,0,0,0,0
2023-01-01 00:41:00,Garage,25.78,48.92,679.26,0.943,12.15,123.19,2.19,1.16,0.046,17.53,0,1,0,0,0,0,0,0,0,0,0
2023-01-01 00:42:00,Basement,25.49,48.02,1357.73,5.475,47.94,239.2,5.83,3.14,0.928,20.61,1,0,0,1,1,0,0,1,1,1,0
